"","Date","Open","High","Low","Close","Volume","Dividend","Split","Adj_Open","Adj_High","Adj_Low","Adj_Close","Adj_Volume"
"844",2015-03-24,116.2,117.83,116.04,116.15,4026566,0,1,108.349215535628,109.869088352522,108.200025565871,108.302593670079,4026566
"845",2015-03-23,117.04,117.75,116.07,116.07,4094988,0,1,109.132462876849,109.794493367644,108.227998685201,108.227998685201,4094988
"846",2015-03-20,115.55,117.99,115.33,117.49,8445980,0,1,107.743131283492,110.018278322278,107.537995075077,109.552059666789,8445980
"847",2015-03-19,116.21,116.43,115.07,115.16,3545475,0,1,108.358539908738,108.563676117153,107.295561374223,107.379480732211,3545475
"848",2015-03-18,115.41,116.42,113.3101,116.08,4773432,0,1,107.612590059955,108.554351744043,105.654564950633,108.23732305831,4773432
"849",2015-03-17,115.45,116.0799,115.14,115.58,3715820,0,1,107.649887552394,108.237229814579,107.360831985991,107.771104402822,3715820
"850",2015-03-16,115.33,116.61,115.32,116.5,4820315,0,1,107.537995075077,108.731514833129,107.528670701967,108.628946728921,4820315
"851",2015-03-13,115.99,116.31,114,114.82,4626884,0,1,108.153403700322,108.451783639835,106.297853451477,107.062452046478,4626884
"852",2015-03-12,113.85,116.46,113.77,116.1,5741991,0,1,106.15798785483,108.591649236482,106.083392869952,108.25597180453,5741991
"853",2015-03-11,112.68,113.8,112.41,113.07,4356487,0,1,105.067036200986,106.111365989281,104.815278127022,105.430686752267,4356487
"854",2015-03-10,113.85,114.34,112.56,112.56,5685032,0.59,1,106.15798785483,106.614882137209,104.955143723668,104.955143723668,5685032
"855",2015-03-09,114.38,115.48,114.37,115.25,5351215,0,1,106.096061326674,107.116394142371,106.086785573804,106.903051826361,5351215
"856",2015-03-06,115.96,115.96,114,114.45,5169186,0,1,107.561630280129,107.561630280129,105.743582717616,106.160991596764,5169186
"857",2015-03-05,115.23,116.098,115.06,115.91,4089528,0,1,106.884500320621,107.689635669734,106.726812521832,107.515251515779,4089528
"858",2015-03-04,115.39,115.47,114.25,114.76,3798834,0,1,107.032912366541,107.107118389501,105.975476539365,106.448539935733,3798834
"859",2015-03-03,116.11,116.12,114.8,116.07,3784741,0,1,107.700766573178,107.710042326048,106.485642947213,107.663663561699,3784741
"860",2015-03-02,114.86,117.06,114.86,116.12,5971881,0,1,106.541297464433,108.581963095825,106.541297464433,107.710042326048,5971881
"861",2015-02-27,115.19,115.67,114.555,114.75,5732581,0,1,106.847397309142,107.2926334469,106.258387001899,106.439264182863,5732581
"862",2015-02-26,116,116.42,115.2,115.38,5649627,0,1,107.598733291609,107.988314912147,106.856673062011,107.023636613671,5649627
"863",2015-02-25,117.35,117.35,115.85,116.31,7328170,0,1,108.850959929054,108.850959929054,107.459596998559,107.886281630578,7328170
"864",2015-02-24,117.5,117.92,115.13,116.75,12775465,0,1,108.990096222104,109.379677842642,106.791742791922,108.294414756856,12775465
"865",2015-02-23,112.99,113.16,111.8,112.28,5626895,0,1,104.806731677749,104.964419476538,103.702917086223,104.148153223981,5626895
"866",2015-02-20,110.81,112.25,110.05,112.24,7269410,0,1,102.784617552096,104.120325965371,102.079660333979,104.111050212501,7269410
"867",2015-02-19,112.01,112.447,110.635,110.94,5910566,0,1,103.897707896492,104.30305829691,102.622291876872,102.905202339406,5910566
"868",2015-02-18,111.6,112.17,111,111.99,3731576,0,1,103.517402028824,104.046119942412,102.960856856626,103.879156390752,3731576
"869",2015-02-17,111.69,112.225,110.62,112,6029630,0,1,103.600883804653,104.097136583197,102.608378247567,103.888432143622,6029630
"870",2015-02-13,112.01,112.39,111.3,111.89,5099683,0,1,103.897707896492,104.250186505551,103.239129442725,103.786398862053,5099683
"871",2015-02-12,110.81,112.2,110.21,112.16,4592234,0,1,102.784617552096,104.073947201022,102.228072379898,104.036844189542,4592234
"872",2015-02-11,110.6,110.798,109.81,110.31,4553751,0,1,102.589826741827,102.773486648652,101.8570422651,102.320829908598,4553751
"873",2015-02-10,108.79,110.85,108.66,110.67,5414382,0,1,100.910915472363,102.821720563576,100.790330685054,102.654757011917,5414382
"874",2015-02-09,108.88,109.46,108.04,108.34,4243688,0,1,100.994397248193,101.532390914651,100.215234007116,100.493506593215,4243688
"875",2015-02-06,109.28,109.74,108.46,109.04,4223512,0,1,101.365427362991,101.79211199501,100.604815627654,101.142809294112,4223512
"876",2015-02-05,108.98,109.34,108.15,108.99,4471801,0,1,101.087154776892,101.421081880211,100.317267288685,101.096430529762,4471801
"877",2015-02-04,107.09,109,106.75,108.41,6765343,0,1,99.3340374844688,101.105706282632,99.01866188689,100.558436863304,6765343
"878",2015-02-03,104.89,107.32,104.81,107.24,5969829,0,1,97.2933718530763,99.547379800478,97.2191658301165,99.4731737775183,5969829
"879",2015-02-02,104.78,105,101.57,104.43,5012500,0,1,97.1913385715066,97.3954051346459,94.2138219002474,96.8666872210578,5012500
"880",2015-01-30,106.36,106.86,104.38,104.42,6998847,0,1,98.6569075249613,99.1206951684596,96.820308456708,96.8574114681878,6998847
"881",2015-01-29,105.14,107.74,104.51,107.62,6529339,0,1,97.5252656748254,99.9369614210166,96.9408932440175,99.825652386577,6529339
"882",2015-01-28,105.31,107.43,104.6,104.74,4917308,0,1,97.6829534736148,99.6494130820477,97.0243750198472,97.1542355600267,4917308
"883",2015-01-27,104.78,105.8137,104.4,105.16,4606480,0,1,97.1913385715066,98.150173145675,96.8388599624479,97.5438171805653,4606480
"884",2015-01-26,105.36,106.5,105.06,106.36,4191784,0,1,97.7293322379647,98.7867680651408,97.4510596518657,98.6569075249613,4191784
"885",2015-01-23,106.21,106.48,105.31,105.37,4075976,0,1,98.5177712319118,98.7682165594009,97.6829534736148,97.7386079908346,4075976
"886",2015-01-22,104.38,106.31,103.54,106.07,5804132,0,1,96.820308456708,98.6105287606115,96.0411452156308,98.3879106917323,5804132
"887",2015-01-21,103.05,104.06,102.5,103.53,5899195,0,1,95.5866333250025,96.523484364869,95.0764669171543,96.0318694627608,5899195
"888",2015-01-20,104.84,104.95,102.35,103.25,5335516,0,1,97.2469930887264,97.349026370296,94.9373306241048,95.7721483824018,5335516
